unidade,curso,periodo,total,fuvest_ac,fuvest_ep,fuvest_ppi,fuvest,enem_ac,enem_ep_l1,enem_ep_l3,enem_ep,enem_ppi_l2,enem_ppi_l4,enem_ppi,enem
EACH,Bacharelado em Sistemas de Informação,M,60,28,10,4,42,2,0,8,8,0,8,8,18
EACH,Bacharelado em Sistemas de Informação,N,120,56,21,7,84,4,0,16,16,0,16,16,36
EACH,Licenciatura em Ciências da Natureza,N,60,30,9,3,42,0,0,9,9,0,9,9,18
EACH,Bacharelado em Educação Física e Saúde,D,60,20,14,8,42,10,4,0,4,4,0,4,18
EACH,Bacharelado em Biotecnologia,D,60,30,11,1,42,0,0,7,7,0,11,11,18
EACH,Curso de Graduação em Gerontologia,V,60,24,12,6,42,6,0,6,6,0,6,6,18
EACH,Curso de Graduação em Obstetrícia,I,60,24,12,6,42,6,4,2,6,4,2,6,18
EACH,Bacharelado em Têxtil e Moda,M,60,24,12,6,42,6,3,3,6,3,3,6,18
EACH,Bacharelado em Lazer e Turismo,V,60,30,9,3,42,0,9,0,9,9,0,9,18
EACH,Bacharelado em Lazer e Turismo,N,60,30,9,3,42,0,9,0,9,9,0,9,18
EACH,Bacharelado em Gestão Ambiental,M,60,27,11,4,42,3,0,7,7,0,8,8,18
EACH,Bacharelado em Gestão Ambiental,N,60,27,11,4,42,3,0,7,7,0,8,8,18
EACH,Gestão de Políticas Públicas,M,60,24,12,6,42,6,3,3,6,3,3,6,18
EACH,Gestão de Políticas Públicas,N,60,24,12,6,42,6,3,3,6,3,3,6,18
EACH,Marketing,M,60,12,18,12,42,18,0,0,0,0,0,0,18
EACH,Marketing,N,60,12,18,12,42,18,0,0,0,0,0,0,18
ECA,Artes Cênicas - Bach. e Lic.,D,30,15,9,6,30,0,0,0,0,0,0,0,0
ECA,Artes Visuais - Bach. e Lic.,D,30,15,9,6,30,0,0,0,0,0,0,0,0
ECA,Música - Bacharelado e Licenciatura,D,50,25,15,10,50,0,0,0,0,0,0,0,0
ECA,Biblioteconomia,M,20,8,4,2,14,2,0,2,2,0,2,2,6
ECA,Biblioteconomia,N,20,8,4,2,14,2,0,2,2,0,2,2,6
ECA,Turismo,N,30,12,6,3,21,3,0,3,3,0,3,3,9
ECA,Com. Social: Publicidade e Propaganda,M,20,8,4,2,14,2,0,2,2,0,2,2,6
ECA,Com. Social: Publicidade e Propaganda,N,30,12,6,3,21,3,0,3,3,0,3,3,9
ECA,Com. Social: Editoração,M,15,7,3,1,11,0,0,2,2,0,2,2,4
ECA,Bacharelado em Jornalismo,M,30,15,5,1,21,0,0,4,4,0,5,5,9
ECA,Bacharelado em Jornalismo,N,30,15,5,1,21,0,0,4,4,0,5,5,9
ECA,Bacharelado em Relações Públicas,M,20,8,4,2,14,2,0,2,2,0,2,2,6
ECA,Bacharelado em Relações Públicas,N,30,12,6,3,21,3,0,3,3,0,3,3,9
ECA,Curso Superior do Audiovisual,D,35,17,6,1,24,0,0,5,5,0,6,6,11
ECA,Licenciatura em Educomunicação,N,30,13,5,3,21,2,0,4,4,0,3,3,9
EEFE,Educação Física e Esporte – Educação Física (Bach. e Lic.) e Esporte (Bach.),I,100,50,20,10,80,0,0,11,11,0,9,9,18
EEFERP,Educação Física e Esporte,I,60,27,8,7,42,3,0,10,10,0,5,5,18
EE,Enfermagem - Bacharelado e Licenciatura,I,80,27,19,10,56,13,0,6,6,0,5,5,24
EERP,Enfermagem – Bacharelado,I,80,40,15,7,62,0,0,10,10,2,6,8,18
EERP,Enfermagem – Bacharelado e Licenciatura,N,50,25,9,5,39,0,0,6,6,1,4,5,11
EEL,Engenharia de Materiais,I,40,18,7,5,30,2,4,1,5,2,1,3,10
EEL,Engenharia Bioquímica,I,40,18,8,4,30,2,3,1,4,3,1,4,10
EEL,Engenharia Química,D,80,32,17,11,60,8,4,4,8,2,2,4,20
EEL,Engenharia Química,N,80,32,17,11,60,8,4,4,8,2,2,4,20
EEL,Engenharia Ambiental,I,40,19,9,6,34,1,2,1,3,1,1,2,6
EEL,Engenharia de Produção,N,40,18,6,6,30,2,3,3,6,1,1,2,10
EEL,Engenharia Física,I,40,18,7,5,30,2,4,1,5,2,1,3,10
EESC,Engenharia Civil,I,60,28,16,11,55,2,0,2,2,0,1,1,5
EESC,Engenharia Elétrica (Ênfase em Eletrônica,I,50,23,10,2,35,2,0,5,5,0,8,8,15
EESC,Engenharia Elétrica (Ênfase em Sistemas de Energia e Automação),I,50,23,10,2,35,2,0,5,5,0,8,8,15
EESC,Engenharia Mecânica,I,50,20,13,7,40,5,2,0,2,2,1,3,10
EESC,Engenharia de Produção,I,50,21,12,7,40,4,3,0,3,3,0,3,10
EESC,Engenharia Aeronáutica,I,40,17,10,6,33,3,0,2,2,0,2,2,7
EESC,Engenharia Ambiental,I,40,18,5,5,28,2,1,6,7,1,2,3,12
EESC,Engenharia Mecatrônica,I,50,20,12,8,40,5,3,0,3,2,0,2,10
EESC,Engenharia de Materiais e Manufatura,I,50,20,11,9,40,5,2,2,4,0,1,1,10
EESC,Engenharia de Computação,I,50,22,8,5,35,3,0,7,7,0,5,5,15
EP,Engenharia Ambiental,I,60,27,16,11,54,3,0,2,2,0,1,1,6
EP,Engenharia Civil,I,136,60,38,24,122,8,0,4,4,0,2,2,14
EP,Engenharia de Computação,I,73,33,21,12,66,3,0,2,2,0,2,2,7
EP,"Engenharia de Materiais, Engenharia
Metalúrgica, Engenharia Nuclear",I,55,24,15,10,49,3,0,2,2,0,1,1,6
EP,Engenharia de Minas,I,30,14,8,5,27,1,0,1,1,0,1,1,3
EP,Engenharia de Petróleo,I,35,16,10,6,32,1,0,1,1,0,1,1,3
EP,Engenharia de Produção,I,76,33,21,14,68,5,0,2,2,0,1,1,8
EP,Engenharia Elétrica,I,170,76,49,28,153,9,0,4,4,0,4,4,17
EP,Engenharia Mecânica,I,70,31,19,13,63,4,0,2,2,0,1,1,7
EP,Engenharia Mecatrônica,I,61,27,17,11,55,3,0,2,2,0,1,1,6
EP,Engenharia Naval,I,43,19,12,8,39,2,0,1,1,0,1,1,4
EP,Engenharia Química (quadrimestral),I,61,27,17,11,55,3,0,2,2,0,1,1,6
ESALQ,Engenharia Agronômica,I,200,82,46,32,160,18,0,16,16,0,6,6,40
ESALQ,Engenharia Florestal,I,40,13,9,6,28,7,0,3,3,0,2,2,12
ESALQ,Ciências dos Alimentos - Bacharelado,N,40,13,9,6,28,7,0,3,3,0,2,2,12
ESALQ,Ciências Biológicas - Bach. e Lic.,N,30,10,7,4,21,5,0,2,2,0,2,2,9
ESALQ,Ciências Econômicas - Bacharelado,D,40,20,12,8,40,0,0,0,0,0,0,0,0
ESALQ,Gestão Ambiental - Bacharelado,N,40,16,8,4,28,4,0,4,4,0,4,4,12
ESALQ,Bacharelado em Administração,D,40,20,12,8,40,0,0,0,0,0,0,0,0
FAU,Arquitetura e Urbanismo,I,150,60,31,14,105,15,8,7,15,8,7,15,45
FAU,Design,N,40,16,8,4,28,4,2,2,4,2,2,4,12
FCF,Farmácia,I,75,37,15,8,60,0,8,0,8,0,7,7,15
FCF,Farmácia,N,75,37,16,7,60,0,7,0,7,0,8,8,15
FCFRP,Farmácia,I,80,40,15,7,62,0,0,10,10,0,8,8,18
FD,Direito,M,225,112,44,1,157,0,13,13,26,21,21,42,68
FD,Direito,N,235,117,46,1,164,0,13,14,27,22,22,44,71
FDRP,Direito,I,100,50,18,2,70,0,13,0,13,17,0,17,30
FEA,Bacharelado em Administração,D,100,50,13,7,70,0,0,18,18,0,12,12,30
FEA,Bacharelado em Administração,N,110,55,14,8,77,0,0,20,20,0,13,13,33
FEA,Bacharelado em Ciências Atuariais,N,50,25,5,5,35,0,0,10,10,0,5,5,15
FEA,Bacharelado em Ciências Contábeis,N,150,75,19,11,105,0,0,27,27,0,18,18,45
FEA,Bacharelado em Ciências Econômicas,D,90,45,11,7,63,0,0,17,17,0,10,10,27
FEA,Bacharelado em Ciências Econômicas,N,90,45,12,6,63,0,0,16,16,0,11,11,27
FEARP,Bacharelado em Administração,D,60,20,13,9,42,10,0,5,5,0,3,3,18
FEARP,Bacharelado em Administração,N,45,15,11,6,32,7,0,3,3,0,3,3,13
FEARP,Ciências Contábeis,N,45,15,11,6,32,7,0,3,3,0,3,3,13
FEARP,Bacharelado em Ciências Econômicas,N,45,15,11,6,32,7,0,3,3,0,3,3,13
FEARP,Economia Empresarial e Controladoria,D,70,23,16,10,49,12,0,5,5,0,4,4,21
FE,Pedagogia,V,60,30,11,4,45,0,7,0,7,8,0,8,15
FE,Pedagogia,N,120,60,23,7,90,0,14,0,14,16,0,16,30
FFCLRP,"Química - Bacharelado – Habilitações:
Química Forense; Química Tecnológica,
Biotecnologia e Agroindústria",I,60,21,13,8,42,9,0,5,5,0,4,4,18
FFCLRP,Física Médica,N,40,18,10,6,34,2,0,2,2,0,2,2,6
FFCLRP,Licenciatura e Bacharelado em Química,N,40,14,8,6,28,6,0,4,4,0,2,2,12
FFCLRP,Bacharelado em Matemática Aplicada a Negócios,D,45,16,10,5,31,6,0,4,4,0,4,4,14
FFCLRP,Psicologia - Bach. e Psicólogo,I,40,20,8,0,28,0,0,4,4,0,8,8,12
FFCLRP,Ciências Biológicas – Bacharelado e Licenciatura,I,40,20,8,0,28,0,0,4,4,0,8,8,12
FFCLRP,Pedagogia,N,50,25,8,2,35,0,0,7,7,0,8,8,15
FFCLRP,Bacharelado em Biblioteconomia e Ciência da Informação,N,40,20,6,2,28,0,0,6,6,0,6,6,12
FFCLRP,Bacharelado em Ciência da Computação,I,20,10,4,0,14,0,0,2,2,0,4,4,6
FFCLRP,Música - Bacharelado e  Educação Artística – Licenciatura com Habilitação em Música,I,30,15,9,6,30,0,0,0,0,0,0,0,0
FFLCH,Ciências Sociais - Bach./Lic.,V,100,50,16,4,70,0,15,0,15,10,5,15,30
FFLCH,Ciências Sociais - Bach./Lic.,N,110,55,14,8,77,0,20,0,20,8,5,13,33
FFLCH,Filosofia - Bach./Lic.,V,80,40,13,3,56,0,12,0,12,6,6,12,24
FFLCH,Filosofia - Bach./Lic.,N,90,45,13,5,63,0,15,0,15,6,6,12,27
FFLCH,Geografia - Bach./Lic.,D,80,40,13,3,56,0,12,0,12,12,0,12,24
FFLCH,Geografia - Bach./Lic.,N,90,45,14,4,63,0,14,0,14,13,0,13,27
FFLCH,História - Bach./Lic.,V,130,65,19,7,91,0,21,0,21,0,18,18,39
FFLCH,História - Bach./Lic.,N,140,70,20,8,98,0,23,0,23,0,19,19,42
FFLCH,Letras – Bach./Lic.,M,422,211,59,27,297,0,72,0,72,34,19,53,125
FFLCH,Letras – Bach./Lic.,N,427,213,60,27,300,0,73,0,73,35,19,54,127
FM,Medicina,I,175,58,39,25,122,29,0,16,16,8,0,8,53
FM,Fisioterapia,I,25,9,6,3,18,3,0,2,2,0,2,2,7
FM,Fonoaudiologia,I,25,9,6,3,18,3,0,2,2,0,2,2,7
FM,Terapia Ocupacional,I,25,9,6,3,18,3,0,2,2,0,2,2,7
FMRP,Medicina,I,100,50,19,6,75,0,0,12,12,0,13,13,25
FMRP,Fisioterapia,N,40,20,6,3,29,0,0,6,6,0,5,5,11
FMRP,Terapia Ocupacional,N,20,10,4,1,15,0,0,2,2,0,3,3,5
FMRP,Nutrição e Metabolismo,I,30,15,5,1,21,0,3,1,4,3,2,5,9
FMRP,Fonoaudiologia,I,30,15,5,2,22,0,0,4,4,0,4,4,8
FMRP,Ciências Biomédicas - Ênfases em Ciências Básicas da Saúde e Ênfase em Biotecnologia em Saúde,I,25,12,4,3,19,0,0,4,4,0,2,2,6
FMRP,Informática Biomédica,I,20,10,2,2,14,0,0,4,4,0,2,2,6
FMVZ,Medicina Veterinária,I,80,36,15,5,56,4,4,6,10,4,6,10,24
FO,Odontologia,I,83,29,21,8,58,12,0,5,5,0,8,8,25
FO,Odontologia,N,50,18,12,5,35,7,0,3,3,0,5,5,15
FOB,Odontologia,I,50,18,9,8,35,7,0,6,6,0,2,2,15
FOB,Medicina,I,60,23,10,9,42,7,0,8,8,0,3,3,18
FOB,Fonoaudiologia,I,40,13,9,6,28,7,3,0,3,2,0,2,12
FORP,Odontologia,I,80,28,15,13,56,12,0,10,10,0,2,2,24
FSP,Nutrição,M,40,18,7,3,28,2,0,5,5,0,5,5,12
FSP,Nutrição,N,40,18,7,3,28,2,0,5,5,0,5,5,12
FSP,Saúde Pública – Bach.,V,40,18,7,3,28,2,0,5,5,0,5,5,12
FZEA,Engenharia de Alimentos,D,50,17,10,8,35,8,0,5,5,0,2,2,15
FZEA,Engenharia de Alimentos,N,50,17,10,8,35,8,0,5,5,0,2,2,15
FZEA,Engenharia de Biossistemas,I,60,21,12,9,42,9,0,6,6,0,3,3,18
FZEA,Zootecnia,I,40,14,8,6,28,6,0,4,4,0,2,2,12
FZEA,Medicina Veterinária,I,60,21,12,9,42,9,0,6,6,0,3,3,18
IAU,Arquitetura e Urbanismo,I,45,15,10,6,31,7,1,3,4,1,2,3,14
IAG,Geofísica,D,30,12,9,6,27,3,0,0,0,0,0,0,3
IAG,Meteorologia,D,30,12,9,6,27,3,0,0,0,0,0,0,3
IAG,Astronomia,D,20,10,5,3,18,0,0,1,1,0,1,1,2
IB,Ciências Biológicas - Bach./Lic.,I,60,27,10,5,42,3,0,8,8,0,7,7,18
IB,Ciências Biológicas - Bach./Lic.,N,60,27,10,5,42,3,0,8,8,0,7,7,18
ICB,Ciências Biomédicas - Bacharelado,I,40,20,8,0,28,0,0,4,4,0,8,8,12
ICMC,Ciências de Computação - Bacharelado,I,85,29,18,12,59,13,0,8,8,0,5,5,26
ICMC,Matemática - Bacharelado e Licenciatura,I,30,10,6,5,21,5,0,3,3,0,1,1,9
ICMC,Matemática Aplic. e Comput. Científica,D,20,7,4,3,14,3,0,2,2,0,1,1,6
ICMC,Sistema de Informação - Bacharelado,N,50,17,11,7,35,8,0,4,4,0,3,3,15
ICMC,Estatística e Ciência de Dados,N,40,14,8,6,28,6,0,4,4,0,2,2,12
ICMC,Bacharelado em Ciência de Dados,I,20,7,4,3,14,3,0,2,2,0,1,1,6
IF,Física – Bacharelado,D,60,30,0,12,42,0,0,18,18,0,0,0,18
IF,Física – Bacharelado,N,100,50,1,19,70,0,0,30,30,0,0,0,30
IF,Física – Licenciatura,D,50,25,0,10,35,0,0,15,15,0,0,0,15
IF,Física – Licenciatura,N,60,30,0,12,42,0,0,18,18,0,0,0,18
IFSC,Física – Bacharelado,I,40,15,8,5,28,5,0,4,4,0,3,3,12
IFSC,Ciências Físicas e Biomoleculares - Bacharelado - Ênfase Tecnológica,I,40,15,8,5,28,5,0,4,4,0,3,3,12
IFSC,Física Computacional - Bacharelado,I,40,15,8,5,28,5,0,4,4,0,3,3,12
IFSC,Ciências Exatas - Licenciatura,N,50,18,10,7,35,7,0,5,5,0,3,3,15
IGc,Geologia,I,50,25,10,0,35,0,0,5,5,0,10,10,15
IGc,Geociências e Educação Ambiental,N,40,20,8,0,28,0,0,4,4,0,8,8,12
IME,Ciência da Computação - Bacharelado,D,60,24,18,12,54,6,0,0,0,0,0,0,6
IME,Matemática - Licenciatura,D,50,25,8,2,35,0,0,7,7,0,8,8,15
IME,Matemática - Licenciatura,N,100,50,16,4,70,0,0,15,15,0,15,15,30
IME,Estatística – Bacharelado,D,40,20,6,8,34,0,0,6,6,0,0,0,6
IME,Matemática - Bacharelado,D,30,15,6,3,24,0,0,3,3,0,3,3,6
IME,Matemática Aplicada - Bacharelado,D,20,8,6,4,18,2,0,0,0,0,0,0,2
IME,Matemática Aplicada e Computacional,N,50,20,15,10,45,5,0,0,0,0,0,0,5
IO,Oceanografia – Bacharelado,I,40,16,8,4,28,4,2,2,4,2,2,4,12
IP,Psicologia - Bach./Lic. e Psicólogo,I,70,35,8,6,49,0,0,13,13,0,8,8,21
IQ,Química – Bacharelado e Licenciatura (Bach. – Ênfases: Tecnológica; Biotecnologia; Bioquímica e  Biologia Molecular),I,60,22,12,8,42,8,2,4,6,2,2,4,18
IQ,Química – Bacharelado e Licenciatura (Bach. – Ênfase em Química Ambiental),N,60,22,12,8,42,8,2,4,6,2,2,4,18
IQSC,"Química (Bacharelado e Bacharelado com
Atribuições Tecnológicas com ênfases em
Alimentos, Ambiental, Gestão de
Qualidade e Materiais)",I,60,20,13,9,42,10,3,2,5,2,1,3,18
IRI,Relações Internacionais – Bacharelado,D,30,14,5,2,21,1,3,1,4,3,1,4,9
IRI,Relações Internacionais – Bacharelado,N,30,14,5,2,21,1,3,1,4,3,1,4,9
